"","ego","ego.sd","PI","PI.sd","LCB","LCB.sd","EQI","EQI.sd"
"26",0.741269345936252,0.142960271474849,0.72954801462298,0.142564545030462,NA,NA,NA,NA
"27",0.741269345936252,0.142960271474849,0.719959127943305,0.143219207833451,NA,NA,NA,NA
"28",0.727406137387591,0.143118983020054,0.709275458589951,0.143753490305982,NA,NA,NA,NA
"29",0.727406137387591,0.143118983020054,0.617169501790365,0.135034024519154,NA,NA,NA,NA
"30",0.68571094754144,0.137499646794704,0.605284623343151,0.135093456072781,NA,NA,NA,NA
"31",0.622057411478243,0.137583034372807,0.584318765080768,0.133264571506952,NA,NA,NA,NA
"32",0.585492554888528,0.133719511748338,0.572444667425618,0.133206934733492,NA,NA,NA,NA
"33",0.557391616924853,0.127997505895629,0.535814694781844,0.128151948794361,NA,NA,NA,NA
"34",0.554324888351099,0.127211613319521,0.535814694781844,0.128151948794361,NA,NA,NA,NA
"35",0.529277820742462,0.126276379296358,0.517887628397629,0.126079566218837,NA,NA,NA,NA
"36",0.494944527526846,0.125586955798692,0.517887628397629,0.126079566218837,NA,NA,NA,NA
"37",0.484104498191126,0.125404752741558,0.508309007676717,0.126182755392124,NA,NA,NA,NA
"38",0.484104498191126,0.125404752741558,0.488762624206218,0.126242386235874,NA,NA,NA,NA
"39",0.446562112879709,0.119947865880054,0.463149184996632,0.124802845937229,NA,NA,NA,NA
"40",0.434319909138013,0.119259660855668,0.444483687836489,0.121917763706094,NA,NA,NA,NA
"41",0.430843022949131,0.118317850185664,0.403174933319513,0.117810017237415,NA,NA,NA,NA
"42",0.417286450132416,0.117155838531347,0.400992215023529,0.117283072730175,NA,NA,NA,NA
"43",0.416406772973089,0.116966455041017,0.398278191553486,0.116642714420165,NA,NA,NA,NA
"44",0.400325180900434,0.115259244068922,0.384721618736771,0.115311692120644,NA,NA,NA,NA
"45",0.385832830959079,0.113589316262075,0.382165273291876,0.114656380229464,NA,NA,NA,NA
"46",0.372811906404912,0.112388684708076,0.382165273291876,0.114656380229464,NA,NA,NA,NA
"47",0.334439823448797,0.107587560497016,0.366139070903026,0.112229681796556,NA,NA,NA,NA
"48",0.32402491009838,0.106847731325582,0.366139070903026,0.112229681796556,NA,NA,NA,NA
"49",0.321019654987735,0.105965344470672,0.366139070903026,0.112229681796556,NA,NA,NA,NA
"50",0.321019654987735,0.105965344470672,0.36307885143861,0.111418843841542,NA,NA,NA,NA
"51",0.321019654987735,0.105965344470672,0.351941717051285,0.110633648452374,NA,NA,NA,NA
"52",0.320990658929044,0.105957899509648,0.351941717051285,0.110633648452374,NA,NA,NA,NA
"53",0.309581643830967,0.104859563777733,0.351941717051285,0.110633648452374,NA,NA,NA,NA
"54",0.294490344153158,0.102531521079159,0.340396837390015,0.109681552947997,NA,NA,NA,NA
"55",0.294490344153158,0.102531521079159,0.340396837390015,0.109681552947997,NA,NA,NA,NA
"56",0.283643793817985,0.101460448136782,0.325888755093201,0.107821068727953,NA,NA,NA,NA
"57",0.283643793817985,0.101460448136782,0.30287869355345,0.101167580410954,NA,NA,NA,NA
"58",0.283643793817985,0.101460448136782,0.292910644635615,0.100378830313141,NA,NA,NA,NA
"59",0.283643793817985,0.101460448136782,0.292910644635615,0.100378830313141,NA,NA,NA,NA
"60",0.283643793817985,0.101460448136782,0.292910644635615,0.100378830313141,NA,NA,NA,NA
"61",0.272797243482812,0.100331325276781,0.292910644635615,0.100378830313141,NA,NA,NA,NA
"62",0.250990343092526,0.0978165463877432,0.28294259571778,0.0995441449681913,NA,NA,NA,NA
"63",0.250990343092526,0.0978165463877432,0.28294259571778,0.0995441449681913,NA,NA,NA,NA
"64",0.250990343092526,0.0978165463877432,0.273363974996868,0.0987728299551283,NA,NA,NA,NA
"65",0.250990343092526,0.0978165463877432,0.263785354275956,0.0979582027900209,NA,NA,NA,NA
"66",0.249268749152901,0.097140089913647,0.263785354275956,0.0979582027900209,NA,NA,NA,NA
